domain	ageusia	anosmia	chest pain	cough	coughing	diarrea	difficulty breathing	dsypnea	fever	loss smell	loss taste	rhinorrhea	running nose	runny nose	shortness of breath	sore throat	throat pain	avg position	nb missing	% presence	weighted avg position	honcode	type
www.uspharmacist.com	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	30	28.9	16	6%	29.9		
www.cebm.net	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	29.0	16	6%	29.9		
www.spandidos-publications.com	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	16	6%	29.9		
www.uclahealth.org	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	29.0	16	6%	29.9		
fpnotebook.com	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
health.clevelandclinic.org	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.msdmanuals.com	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.sciencedaily.com	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	29.1	16	6%	29.9		
www.thefreedictionary.com	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.unitypoint.org	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
psychology.wikia.org	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
wesleymc.com	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.entandallergy.com	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	29.1	16	6%	29.9		
www.osfhealthcare.org	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.sciencealert.com	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.spectrumhealthlakeland.org	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
healthtalk.unchealthcare.org	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.clinicalmicrobiologyandinfection.com	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.indigourgentcare.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	29.2	16	6%	30.0		
ecancer.org	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
littlespurspedi.com	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.aafp.org	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.apdaparkinson.org	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	29.2	16	6%	30.0		
www.hackensackmeridianhealth.org	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.uab.edu	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	29.2	16	6%	30.0		
health.ucsd.edu	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
medbroadcast.com	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
myhealth.alberta.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	29.3	16	6%	30.0		
parkridgehealth.com	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
www.healthgrades.com	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	29.3	16	6%	30.0		
www.sharecare.com	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
www.wkhs.com	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
github.com	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
health.usnews.com	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	29.4	16	6%	30.0		
www.bbc.com	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.cancertherapyadvisor.com	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.cincinnatichildrens.org	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.fifthsense.org.uk	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.jpedhc.org	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	29.4	16	6%	30.0		
www.nicklauschildrens.org	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
rehydrate.org	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
wa.kaiserpermanente.org	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.brighamandwomensfaulkner.org	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	29.4	16	6%	30.0		
www.keckmedicine.org	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	29.4	16	6%	30.0		
emedicine.medscape.com	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	29.5	16	6%	30.0		
