id	topic-fr	topic-en	topic-id	keyword fr	keyword en	fr-topic-url-12M	en-topic-url-12M	fr-url-12M	en-url-12M	fr-topic-url-5M	en-topic-url-5M	fr-url-5M	en-url-5M
Conjonctivite	Conjonctivite	Conjunctivitis	%2Fm%2F0c36_	conjonctivite	conjunctivitis	https://trends.google.fr/trends/explore?q=%2Fm%2F0c36_&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0c36_&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=conjonctivite&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=conjunctivitis&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F0c36_&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0c36_&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=conjonctivite&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=conjunctivitis&date=2020-01-01 2020-05-01&geo=US&hl=en
Céphalée	Céphalée	Headache	%2Fm%2F0j5fv	céphalée%2Bmal tete%2Bmaux tete%2Bmal tête%2Bmaux tête		https://trends.google.fr/trends/explore?q=%2Fm%2F0j5fv&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0j5fv&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=céphalée%2Bmal tete%2Bmaux tete%2Bmal tête%2Bmaux tête&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F0j5fv&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0j5fv&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=céphalée%2Bmal tete%2Bmaux tete%2Bmal tête%2Bmaux tête&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=&date=2020-01-01 2020-05-01&geo=US&hl=en
Rhinorrhée	Rhinorrhée	Rhinorrhea	%2Fm%2F06p_bp	rhinorrhée%2Bnez coule%2Bécoulement nasal%2Becoulement nasal	rhinorrhea%2Brunny nose%2Brunning nose	https://trends.google.fr/trends/explore?q=%2Fm%2F06p_bp&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F06p_bp&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=rhinorrhée%2Bnez coule%2Bécoulement nasal%2Becoulement nasal&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=rhinorrhea%2Brunny nose%2Brunning nose&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F06p_bp&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F06p_bp&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=rhinorrhée%2Bnez coule%2Bécoulement nasal%2Becoulement nasal&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=rhinorrhea%2Brunny nose%2Brunning nose&date=2020-01-01 2020-05-01&geo=US&hl=en
Vomissement	Vomissement	Vomiting	%2Fm%2F012qjw	vomissement%2Bvomir%2Bvomit%2Bvomi	vomiting%2Bthrowing up%2Bvomit%2Bvomiting%2Bpucking	https://trends.google.fr/trends/explore?q=%2Fm%2F012qjw&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F012qjw&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=vomissement%2Bvomir%2Bvomit%2Bvomi&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=vomiting%2Bthrowing up%2Bvomit%2Bvomiting%2Bpucking&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F012qjw&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F012qjw&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=vomissement%2Bvomir%2Bvomit%2Bvomi&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=vomiting%2Bthrowing up%2Bvomit%2Bvomiting%2Bpucking&date=2020-01-01 2020-05-01&geo=US&hl=en
Epuissement	Epuisement		%2Fm%2F0fmyxd	épuisement		https://trends.google.fr/trends/explore?q=%2Fm%2F0fmyxd&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0fmyxd&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=épuisement&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F0fmyxd&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0fmyxd&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=épuisement&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=&date=2020-01-01 2020-05-01&geo=US&hl=en
		skin rash			skin rash	https://trends.google.fr/trends/explore?q=&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=skin rash&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=skin rash&date=2020-01-01 2020-05-01&geo=US&hl=en
Coronavirus	Coronavirus	Coronavirus	%2Fm%2F01cpyy	coronavirus%2Bcorona virus%2Bcorona%2Bcovid%2Bcovid19	coronavirus%2Bcorona virus%2Bcorona%2Bcovid%2Bcovid19	https://trends.google.fr/trends/explore?q=%2Fm%2F01cpyy&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F01cpyy&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=coronavirus%2Bcorona virus%2Bcorona%2Bcovid%2Bcovid19&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=coronavirus%2Bcorona virus%2Bcorona%2Bcovid%2Bcovid19&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F01cpyy&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F01cpyy&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=coronavirus%2Bcorona virus%2Bcorona%2Bcovid%2Bcovid19&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=coronavirus%2Bcorona virus%2Bcorona%2Bcovid%2Bcovid19&date=2020-01-01 2020-05-01&geo=US&hl=en
													
													
													
url-trend	https://trends.google.fr/trends/explore?q=												
date-5M	&date=2020-01-01 2020-05-01												
date-12M	&date=2019-09-15 2020-09-06												
lang-fr	&hl=fr												
lang-en	&hl=en												
france	&geo=FR												
us	&geo=US												
