domain	ageusia coronavirus	ageusia covid	anosmia covid	chest pain coronavirus	chest pain covid	cough coronavirus	cough covid	coughing coronavirus	coughing covid	diarrea coronavirus	diarrea covid	diarrhea coronavirus	diarrhea covid	difficulty breathing coronavirus	difficulty breathing covid	dsypnea coronavirus	dsypnea covid	fever coronavirus	fever covid	loss smell coronavirus	loss smell covid	loss taste coronavirus	loss taste covid	rhinorrhea coronavirus	running nose coronavirus	running nose covid	runny nose coronavirus	runny nose covid	shortness of breath coronavirus	sore throat coronavirus	sore throat covid	soreness coronavirus	soreness covid	thermometer coronavirus	thermometer covid	throat pain coronavirus	throat pain covid	total	missing	top 20 % present	weighted avg rank	honcode	type
www.hollandhospital.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	24	20	21	20	30	21	12	30	30	30	30	30	13	27.9	30	19%	29.6		
www.memorialhermann.org	30	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	6	7	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.0	32	14%	29.6		
www.pennmedicine.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	30	30	20	13	16	22	30	30	30	30	30	30	30	30	30	14	30	30	30	30	27.7	31	16%	29.6		
www.chifranciscan.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	20	8	11	30	30	18	18	27.8	31	16%	29.6		
www.uab.edu	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	4	9	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.4	32	14%	29.6		
www.goodrx.com	30	30	30	30	30	30	30	30	30	30	30	30	30	9	10	3	25	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	27.4	32	14%	29.6		
www.beckershospitalreview.com	12	11	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.5	32	14%	29.7		
www.nationaljewish.org	30	30	30	20	16	30	30	30	30	30	30	30	30	14	12	30	30	30	30	30	30	30	30	17	30	30	30	30	24	30	30	30	30	30	30	30	30	27.9	31	16%	29.7		
www.scientificamerican.com	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	15	10	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.5	32	14%	29.7		
kidshealth.org	30	30	30	30	30	14	24	21	30	22	25	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	30	30	30	28.3	30	19%	29.7		
atriumhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	9	11	12	11	30	30	30	30	30	30	30	30	30	27.7	32	14%	29.7		
www.vumc.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	9	2	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.3	33	11%	29.7		
www.pharmacist.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	14	12	17	12	30	30	30	30	30	30	30	30	30	27.9	32	14%	29.7		
healthcare.utah.edu	30	30	30	30	30	30	30	30	30	30	30	30	30	16	19	14	30	30	30	30	30	30	30	12	30	30	30	30	15	30	30	30	30	30	30	30	30	28.0	32	14%	29.7		
www.advisory.com	30	30	30	11	10	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	23	18	30	30	30	30	28.0	32	14%	29.7		
health.usnews.com	30	30	30	30	30	30	30	30	30	30	30	24	19	22	13	30	30	30	30	30	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.1	32	14%	29.7		
www.healio.com	30	30	30	30	30	7	3	16	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.7	33	11%	29.7		
www.health.gov.au	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	15	16	14	30	30	23	30	30	30	30	30	30	28.2	32	14%	29.8		
www.avert.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	15	17	15	18	30	30	30	30	30	30	30	30	30	28.3	32	14%	29.8		
www.infectiousdiseaseadvisor.com	30	30	30	30	30	30	30	30	30	30	30	15	12	30	30	11	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.9	33	11%	29.8		
www.vdh.virginia.gov	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	15	30	30	30	30	30	30	30	30	30	30	23	8	30	30	30	30	30	24	28.4	32	14%	29.8		
acoem.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	18	13	30	10	30	30	30	30	30	30	30	30	30	28.1	33	11%	29.8		
www.keranews.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	11	30	30	30	30	15	10	28.1	33	11%	29.8		
www.entnet.org	16	21	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	28.1	33	11%	29.8		
www.mayoclinicproceedings.org	8	8	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.1	33	11%	29.8		
www.coronavirustoday.com	9	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.1	33	11%	29.8		
www.prevention.com	30	30	30	13	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	21	30	30	30	30	28.2	33	11%	29.8		
hms.harvard.edu	30	30	2	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.7	34	8%	29.8		
www.talktomira.com	30	30	30	30	30	30	30	30	30	30	30	30	30	12	18	15	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	28.3	33	11%	29.8		
www.medicalnewstoday.com	30	30	30	30	30	11	22	10	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	33	11%	29.8		
baptisthealth.net	30	30	30	30	30	30	30	30	30	30	30	30	30	15	15	20	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	28.5	33	11%	29.8		
www.nbcnews.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	30	30	30	30	30	30	21	30	9	13	30	30	28.5	33	11%	29.8		
wwwnc.cdc.gov	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	3	4	30	30	30	30	28.1	34	8%	29.8		
news.usc.edu	30	30	30	30	30	22	14	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	28.6	33	11%	29.8		
www.childrenshospital.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	14	20	15	30	30	30	30	30	30	30	30	30	28.6	33	11%	29.8		
www.uptodate.com	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	22	15	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	33	11%	29.8		
onlinelibrary.wiley.com	20	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	34	8%	29.9		
www.businessinsider.com	30	30	30	30	30	30	30	30	30	30	30	20	24	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	28.9	33	11%	29.9		
www.henryford.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	16	22	17	30	30	30	30	30	30	30	30	30	28.9	33	11%	29.9		
www.uspharmacist.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	22	30	30	30	30	17	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	33	11%	29.9		
