domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	avg rank	top 20 missing	top 20 % present	weighted avg rank	honcode	type
www.apo24.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	29.4	24	4%	30.0		
www.conjugaisonfrancaise.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	29.4	24	4%	30.0		
www.gastro.medline.ch	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	24	4%	30.0		
www.pollenundallergie.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	29.4	24	4%	30.0		
www.doccheckshop.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	29.4	24	4%	30.0		
www.quebecscience.qc.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	29.4	24	4%	30.0		
www.slate.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	29.4	24	4%	30.0		
conjugaison.lemonde.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	29.5	24	4%	30.0		
crisco2.unicaen.fr	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	24	4%	30.0		
www.beroccagamme.fr	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	24	4%	30.0		
www.distrimed.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	29.5	24	4%	30.0		
www.karger.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	29.5	24	4%	30.0		
www.laroche-posay.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	29.5	24	4%	30.0		
www.lehning.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	29.5	24	4%	30.0		
www.orkyn.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.5	24	4%	30.0		
selomida.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	29.5	24	4%	30.0		
www.datasport.com	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	24	4%	30.0		
www.erasme.ulb.ac.be	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	24	4%	30.0		
www.landi.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	29.5	24	4%	30.0		
www.lesechos.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	29.5	24	4%	30.0		
www.orl-toulouse-rivegauche.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	29.5	24	4%	30.0		
www.24heures.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.anses.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	29.6	24	4%	30.0		
www.chuv.ch	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.cochrane.org	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.diacosa.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	29.6	24	4%	30.0		
www.franceinter.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.lesouffle.org	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.migros.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	29.6	24	4%	30.0		
www.tabac-info-service.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
conjugaison.ouest-france.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	29.6	24	4%	30.0		
digestion.ooreka.fr	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
ramsaygds.fr	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.afsos.org	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.aidonslesnotres.fr	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.brack.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	29.6	24	4%	30.0		
www.hopitalpourenfants.com	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.lequipe.fr	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
