domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	avg position	nb missing	% presence	weighted avg position	honcode	type
www.cpma.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	20	16	30	30	30	30	30	29.3	47	6%	30.0		
www.health.gov.on.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	5	30	30	29.0	48	4%	30.0		
www.louvainmedical.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	6	29.1	48	4%	30.0		
www.news-medical.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	7	29.1	48	4%	30.0		
www.amboss.com	30	30	30	30	30	30	30	30	30	30	30	30	13	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	48	4%	30.0		
www.ghi.ch	30	30	30	30	30	30	8	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	48	4%	30.0		
lepetitjournal.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	10	29.2	48	4%	30.0		
www.hpci.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	29.3	48	4%	30.0		
www.parismatch.com	30	30	30	30	30	30	11	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3	48	4%	30.0		
www.illustre.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.3	48	4%	30.0		
ciusssmcq.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	12	30	30	29.3	48	4%	30.0		
covid19.cipalgerie.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	14	30	30	29.4	48	4%	30.0		
www.liguepulmonaire.ch	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48	4%	30.0		
www.rki.de	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48	4%	30.0		
www.unitar.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	18	30	30	29.4	48	4%	30.0		
actu.epfl.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	13	30	30	30	30	30	30	29.4	48	4%	30.0		
sfgg.org	30	30	30	30	17	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48	4%	30.0		
www.francetvinfo.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	10	30	30	30	30	30	30	30	30	30	30	29.4	48	4%	30.0		
www.laprovence.com	30	30	30	30	14	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48	4%	30.0		
www.tcs.ch	30	30	30	30	30	30	14	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
www3.unifr.ch	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
feelgoods-apotheken.ch	30	30	30	30	30	30	17	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
fr.wikipedia.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
novascotia.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	17	30	30	29.5	48	4%	30.0		
nicephore.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	16	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
www.lesechos.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
www.uptodate.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	19	29.5	48	4%	30.0		
www.ladepeche.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
www.lejdd.fr	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48	4%	30.0		
www.mesvaccins.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	20	30	30	29.6	48	4%	30.0		
www.usinenouvelle.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	30	30	30	30	30	29.5	49	2%	30.0		
www.galaxus.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	30	30	30	30	30	30	30	30	30	30	29.5	49	2%	30.0		
www.omron-healthcare.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	29.5	49	2%	30.0		
blog.hopitalvs.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
unilabs.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	29.6	49	2%	30.0		
www.imad-ge.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
www.mmemed.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
lpne.ch	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
www.science-et-vie.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
www.seriniti.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	29.6	49	2%	30.0		
covid19.mu	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	29.6	49	2%	30.0		
www.palliative.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
www.atousante.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
www.rheuma-net.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	49	2%	30.0		
www.mediamarkt.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.widoobiz.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.amavita.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.bghm.de	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.fmh.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
coronacheck.abilis.ch	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
france3-regions.francetvinfo.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.ameli.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.hesge.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	29.7	49	2%	30.0		
www.infirmiers.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.lequotidiendumedecin.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	29.7	49	2%	30.0		
www.princeedwardisland.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	29.7	49	2%	30.0		
www.sciencedirect.com	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
medicalforum.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.admin.ch	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.francebleu.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.numerama.com	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.swissinfo.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	29.7	49	2%	30.0		
www.thefork.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	29.7	49	2%	30.0		
nandrin.blogs.sudinfo.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.20min.ch	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.bbraun.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.formamed-shop.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
sante.lefigaro.fr	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.cdiscount.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.france-assos-sante.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.ledauphine.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	29.8	49	2%	30.0		
www.lemessager.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.ligues-rhumatisme.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	29.8	49	2%	30.0		
avisdexperts.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	29.8	49	2%	30.0		
www.chinacdc.cn	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.equinella.ch	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.europe1.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	29.8	49	2%	30.0		
www.lesoleil.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
www.palliative-vs.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49	2%	30.0		
